Type,Air Temperature [°C],Process Temperature [°C],Rotational Speed [rpm],Torque [Nm],Tool Wear [min],Failure Type,DateTime,Failure Type Prediction,RUL_Power Failure,RUL_Tool Wear Failure,RUL_Overstrain Failure,RUL_Heat Dissipation Failure
L,25.350000000000023,36.450000000000045,1585.0,37.6,2.0,No Failure,2022-01-13 04:26:00,No Failure,464,1158,210,124
L,26.55000000000001,37.75,1651.0,29.5,42.0,No Failure,2022-01-12 17:58:00,No Failure,462,1156,208,122
M,26.350000000000023,36.05000000000001,1564.0,37.5,15.0,No Failure,2022-01-03 18:46:00,No Failure,460,1154,206,120
L,24.950000000000045,36.25,1529.0,40.4,165.0,No Failure,2022-01-13 08:58:00,No Failure,458,1152,204,118
L,30.25,39.650000000000034,1727.0,26.5,213.0,No Failure,2022-01-08 20:24:00,No Failure,456,1150,202,116
L,27.950000000000045,37.05000000000001,1783.0,27.3,118.0,No Failure,2022-01-05 06:28:00,No Failure,454,1148,200,114
L,26.75,38.05000000000001,1498.0,50.2,160.0,No Failure,2022-01-02 19:40:00,No Failure,452,1146,198,112
L,31.350000000000023,39.450000000000045,1428.0,46.2,139.0,No Failure,2022-01-07 12:38:00,No Failure,450,1144,196,110
M,30.350000000000023,39.85000000000002,1591.0,29.4,192.0,No Failure,2022-01-08 20:10:00,No Failure,448,1142,194,108
H,26.450000000000045,37.35000000000002,1523.0,34.2,119.0,No Failure,2022-01-12 13:32:00,No Failure,446,1140,192,106
H,31.650000000000034,40.35000000000002,1525.0,38.0,209.0,No Failure,2022-01-07 19:14:00,No Failure,444,1138,190,104
L,26.25,36.150000000000034,1473.0,39.9,184.0,No Failure,2022-01-01 04:58:00,No Failure,442,1136,188,102
L,26.650000000000034,36.75,1398.0,51.5,0.0,No Failure,2022-01-01 02:36:00,No Failure,440,1134,186,100
L,29.150000000000034,38.75,1566.0,33.1,82.0,No Failure,2022-01-09 03:20:00,No Failure,438,1132,184,98
L,28.05000000000001,39.55000000000001,1553.0,41.3,44.0,No Failure,2022-01-11 08:10:00,No Failure,436,1130,182,96
L,30.450000000000045,38.35000000000002,1511.0,37.2,197.0,No Failure,2022-01-07 07:36:00,No Failure,434,1128,180,94
L,26.650000000000034,37.55000000000001,1424.0,49.6,129.0,No Failure,2022-01-12 13:38:00,No Failure,432,1126,178,92
L,30.850000000000023,39.150000000000034,1466.0,43.0,210.0,No Failure,2022-01-07 10:32:00,No Failure,430,1124,176,90
M,23.150000000000034,33.650000000000034,1589.0,36.2,184.0,No Failure,2022-01-02 06:32:00,No Failure,428,1122,174,88
L,30.55000000000001,38.35000000000002,1446.0,40.9,211.0,Tool Wear Failure,2022-01-07 04:58:00,No Failure,426,1120,172,86
L,26.75,38.05000000000001,1696.0,30.2,214.0,No Failure,2022-01-02 20:20:00,No Failure,424,1118,170,84
M,31.950000000000045,41.05000000000001,1510.0,46.9,152.0,No Failure,2022-01-08 00:10:00,No Failure,422,1116,168,82
M,23.55000000000001,34.150000000000034,1685.0,34.9,84.0,No Failure,2022-01-02 05:16:00,No Failure,420,1114,166,80
M,24.850000000000023,35.75,1412.0,47.4,112.0,No Failure,2022-01-02 02:50:00,No Failure,418,1112,164,78
L,31.55000000000001,40.650000000000034,1523.0,40.7,59.0,No Failure,2022-01-07 22:58:00,No Failure,416,1110,162,76
L,28.350000000000023,39.55000000000001,1811.0,26.8,47.0,No Failure,2022-01-11 19:18:00,No Failure,414,1108,160,74
L,25.350000000000023,37.25,1318.0,58.2,146.0,No Failure,2022-01-01 18:40:00,No Failure,412,1106,158,72
H,30.150000000000034,39.150000000000034,1744.0,30.3,116.0,No Failure,2022-01-06 10:18:00,No Failure,410,1104,156,70
M,28.05000000000001,37.950000000000045,1550.0,38.7,45.0,No Failure,2022-01-09 05:36:00,No Failure,408,1102,154,68
L,29.25,38.650000000000034,1610.0,34.6,187.0,No Failure,2022-01-05 15:44:00,No Failure,406,1100,152,66
L,26.850000000000023,36.450000000000045,1946.0,22.3,102.0,No Failure,2022-01-04 09:50:00,No Failure,404,1098,150,64
M,30.350000000000023,38.35000000000002,1527.0,38.8,136.0,No Failure,2022-01-07 06:48:00,No Failure,402,1096,148,62
L,28.55000000000001,38.55000000000001,1314.0,42.4,198.0,No Failure,2022-01-09 07:30:00,No Failure,400,1094,146,60
L,29.450000000000045,38.25,1599.0,41.7,116.0,No Failure,2022-01-05 23:12:00,No Failure,398,1092,144,58
L,25.25,36.650000000000034,1640.0,34.2,142.0,No Failure,2022-01-02 00:10:00,No Failure,396,1090,142,56
L,25.150000000000034,36.35000000000002,1497.0,47.5,27.0,No Failure,2022-01-02 15:28:00,No Failure,394,1088,140,54
M,28.05000000000001,37.450000000000045,1491.0,41.8,41.0,No Failure,2022-01-04 20:44:00,No Failure,392,1086,138,52
M,25.450000000000045,36.35000000000002,1431.0,52.6,26.0,No Failure,2022-01-12 23:22:00,No Failure,390,1084,136,50
L,27.05000000000001,36.450000000000045,1582.0,38.8,156.0,No Failure,2022-01-04 07:54:00,No Failure,388,1082,134,48
M,31.350000000000023,39.85000000000002,1475.0,42.9,85.0,No Failure,2022-01-07 17:38:00,No Failure,386,1080,132,46
M,29.150000000000034,38.55000000000001,1391.0,52.5,61.0,No Failure,2022-01-10 10:08:00,No Failure,384,1078,130,44
L,31.55000000000001,39.950000000000045,1363.0,51.8,90.0,Heat Dissipation Failure,2022-01-07 17:42:00,No Failure,382,1076,128,42
L,28.75,39.150000000000034,1953.0,19.4,107.0,No Failure,2022-01-10 13:26:00,No Failure,380,1074,126,40
L,28.950000000000045,37.950000000000045,1666.0,27.2,40.0,No Failure,2022-01-10 01:22:00,No Failure,378,1072,124,38
L,31.25,40.150000000000034,1663.0,33.9,78.0,No Failure,2022-01-07 20:20:00,No Failure,376,1070,122,36
L,27.650000000000034,37.35000000000002,1739.0,27.5,128.0,No Failure,2022-01-04 15:56:00,No Failure,374,1068,120,34
L,26.05000000000001,35.650000000000034,1423.0,48.1,183.0,No Failure,2022-01-03 18:20:00,No Failure,372,1066,118,32
L,28.25,39.05000000000001,1673.0,28.9,171.0,No Failure,2022-01-11 12:36:00,No Failure,370,1064,116,30
H,29.350000000000023,38.650000000000034,1474.0,38.7,58.0,No Failure,2022-01-05 16:52:00,No Failure,368,1062,114,28
M,27.25,36.950000000000045,1500.0,43.3,10.0,No Failure,2022-01-04 00:20:00,No Failure,366,1060,112,26
L,29.25,38.950000000000045,1469.0,36.9,133.0,No Failure,2022-01-09 04:04:00,No Failure,364,1058,110,24
L,26.850000000000023,36.450000000000045,1329.0,60.5,120.0,No Failure,2022-01-01 04:12:00,No Failure,362,1056,108,22
L,28.55000000000001,38.950000000000045,2478.0,13.4,170.0,Power Failure,2022-01-10 17:00:00,No Failure,360,1054,106,20
L,29.450000000000045,38.450000000000045,1834.0,23.5,146.0,No Failure,2022-01-05 18:00:00,No Failure,358,1052,104,18
L,26.950000000000045,38.25,1428.0,46.9,87.0,No Failure,2022-01-03 00:28:00,No Failure,356,1050,102,16
L,25.850000000000023,36.650000000000034,1489.0,36.5,109.0,No Failure,2022-01-12 21:30:00,No Failure,354,1048,100,14
L,28.450000000000045,37.450000000000045,1426.0,53.6,66.0,No Failure,2022-01-05 11:16:00,No Failure,352,1046,98,12
M,27.850000000000023,39.25,1533.0,42.6,180.0,No Failure,2022-01-11 21:02:00,No Failure,350,1044,96,10
L,27.75,37.450000000000045,1254.0,61.3,124.0,No Failure,2022-01-04 15:52:00,No Failure,348,1042,94,8
L,31.450000000000045,40.450000000000045,1699.0,27.9,160.0,No Failure,2022-01-07 15:48:00,No Failure,346,1040,92,6
M,28.55000000000001,38.650000000000034,1506.0,44.0,97.0,No Failure,2022-01-09 06:18:00,No Failure,344,1038,90,4
L,28.75,38.75,1755.0,27.9,148.0,No Failure,2022-01-09 12:44:00,No Failure,342,1036,88,2
L,29.950000000000045,38.55000000000001,1325.0,45.1,208.0,Heat Dissipation Failure,2022-01-06 17:18:00,Heat Dissipation Failure,340,1034,86,160
L,28.150000000000034,39.55000000000001,1989.0,22.3,121.0,No Failure,2022-01-11 09:08:00,No Failure,338,1032,84,158
L,28.75,38.950000000000045,1417.0,40.7,24.0,No Failure,2022-01-10 12:26:00,No Failure,336,1030,82,156
L,30.350000000000023,38.25,1415.0,48.2,117.0,No Failure,2022-01-07 06:30:00,No Failure,334,1028,80,154
H,28.05000000000001,38.85000000000002,1777.0,27.5,151.0,No Failure,2022-01-11 12:20:00,No Failure,332,1026,78,152
M,25.350000000000023,36.950000000000045,1540.0,38.5,176.0,No Failure,2022-01-13 06:34:00,No Failure,330,1024,76,150
L,28.05000000000001,37.35000000000002,1729.0,28.4,131.0,No Failure,2022-01-04 21:56:00,No Failure,328,1022,74,148
L,28.650000000000034,38.55000000000001,1525.0,39.4,175.0,No Failure,2022-01-10 19:38:00,No Failure,326,1020,72,146
L,24.75,35.85000000000002,1343.0,44.5,15.0,No Failure,2022-01-02 01:38:00,No Failure,324,1018,70,144
M,31.55000000000001,40.55000000000001,1396.0,47.3,158.0,No Failure,2022-01-08 05:22:00,No Failure,322,1016,68,142
M,28.75,38.650000000000034,1402.0,48.1,22.0,No Failure,2022-01-09 11:08:00,No Failure,320,1014,66,140
L,24.450000000000045,35.55000000000001,1556.0,37.7,110.0,No Failure,2022-01-02 11:02:00,No Failure,318,1012,64,138
L,25.850000000000023,36.35000000000002,1429.0,37.7,220.0,Tool Wear Failure,2022-01-03 02:18:00,No Failure,316,1010,62,136
H,23.75,34.35000000000002,1594.0,33.2,55.0,No Failure,2022-01-02 04:54:00,No Failure,314,1008,60,134
M,25.25,36.35000000000002,1472.0,42.0,150.0,No Failure,2022-01-13 03:42:00,No Failure,312,1006,58,132
L,26.650000000000034,38.150000000000034,1553.0,36.8,97.0,No Failure,2022-01-02 21:48:00,No Failure,310,1004,56,130
L,23.650000000000034,34.35000000000002,1568.0,35.1,111.0,No Failure,2022-01-02 08:20:00,No Failure,308,1002,54,128
H,31.650000000000034,41.05000000000001,1379.0,50.2,178.0,No Failure,2022-01-08 08:32:00,No Failure,306,1000,52,126
L,31.25,40.150000000000034,1287.0,54.8,54.0,No Failure,2022-01-07 20:02:00,No Failure,304,998,50,124
L,27.950000000000045,37.05000000000001,1599.0,30.1,216.0,No Failure,2022-01-05 10:20:00,No Failure,302,996,48,122
M,25.350000000000023,35.85000000000002,1560.0,39.0,141.0,No Failure,2022-01-14 01:00:00,No Failure,300,994,46,120
L,25.850000000000023,36.35000000000002,1461.0,48.0,68.0,No Failure,2022-01-14 00:12:00,No Failure,298,992,44,118
L,31.75,41.05000000000001,1481.0,44.1,197.0,No Failure,2022-01-08 08:46:00,No Failure,296,990,42,116
L,26.450000000000045,36.75,1327.0,58.8,9.0,No Failure,2022-01-14 18:24:00,No Failure,294,988,40,114
L,25.25,36.950000000000045,1380.0,41.1,152.0,No Failure,2022-01-01 15:50:00,No Failure,292,986,38,112
L,28.55000000000001,38.25,1543.0,47.3,203.0,No Failure,2022-01-10 20:00:00,No Failure,290,984,36,110
H,25.150000000000034,36.650000000000034,1499.0,44.2,134.0,No Failure,2022-01-01 15:40:00,No Failure,288,982,34,108
L,26.150000000000034,36.150000000000034,1444.0,43.8,176.0,No Failure,2022-01-03 04:38:00,No Failure,286,980,32,106
M,26.05000000000001,36.950000000000045,1411.0,45.8,157.0,No Failure,2022-01-14 15:04:00,No Failure,284,978,30,104
L,29.450000000000045,38.25,1517.0,41.1,167.0,No Failure,2022-01-05 23:50:00,No Failure,282,976,28,102
M,25.850000000000023,35.650000000000034,1483.0,50.9,26.0,No Failure,2022-01-03 16:18:00,No Failure,280,974,26,100
H,29.850000000000023,38.35000000000002,1812.0,24.4,138.0,No Failure,2022-01-06 16:24:00,No Failure,278,972,24,98
L,26.450000000000045,36.150000000000034,1422.0,40.4,179.0,No Failure,2022-01-14 20:34:00,No Failure,276,970,22,96
L,31.75,40.85000000000002,1433.0,48.4,178.0,No Failure,2022-01-08 00:24:00,No Failure,274,968,20,94
M,26.150000000000034,36.55000000000001,1667.0,28.6,18.0,No Failure,2022-01-01 00:16:00,No Failure,272,966,18,92
H,31.55000000000001,40.75,1460.0,49.8,2.0,No Failure,2022-01-08 09:02:00,No Failure,270,964,16,90
L,28.75,37.35000000000002,1612.0,35.2,124.0,No Failure,2022-01-05 12:00:00,No Failure,268,962,14,88
L,31.05000000000001,39.05000000000001,1404.0,50.9,31.0,No Failure,2022-01-07 14:18:00,No Failure,266,960,12,86
L,25.450000000000045,36.55000000000001,1365.0,50.6,143.0,No Failure,2022-01-13 00:50:00,No Failure,264,958,10,84
L,25.350000000000023,36.150000000000034,1544.0,40.8,37.0,No Failure,2022-01-01 11:34:00,No Failure,262,956,8,82
L,27.950000000000045,37.55000000000001,1680.0,33.8,140.0,No Failure,2022-01-09 21:04:00,No Failure,260,954,6,80
L,31.25,40.05000000000001,1580.0,35.8,90.0,No Failure,2022-01-07 20:28:00,No Failure,258,952,4,78
L,28.05000000000001,38.150000000000034,1514.0,38.7,48.0,No Failure,2022-01-11 02:30:00,No Failure,256,950,2,76
L,28.25,39.650000000000034,1272.0,59.2,198.0,Overstrain Failure,2022-01-11 18:38:00,Overstrain Failure,254,948,192,74
L,27.950000000000045,38.450000000000045,1809.0,24.3,97.0,No Failure,2022-01-11 03:08:00,No Failure,252,946,190,72
M,25.25,36.450000000000045,1434.0,44.4,193.0,No Failure,2022-01-01 13:36:00,No Failure,250,944,188,70
L,28.150000000000034,38.150000000000034,2158.0,16.8,32.0,No Failure,2022-01-10 23:24:00,No Failure,248,942,186,68
L,25.75,35.650000000000034,1373.0,50.2,130.0,No Failure,2022-01-03 06:56:00,No Failure,246,940,184,66
L,24.55000000000001,35.650000000000034,1505.0,39.4,236.0,No Failure,2022-01-02 01:20:00,No Failure,244,938,182,64
M,26.350000000000023,37.25,1521.0,37.5,94.0,No Failure,2022-01-14 14:22:00,No Failure,242,936,180,62
M,24.450000000000045,35.25,1544.0,42.3,170.0,No Failure,2022-01-02 03:42:00,No Failure,240,934,178,60
M,26.75,36.450000000000045,1574.0,33.5,128.0,No Failure,2022-01-04 10:14:00,No Failure,238,932,176,58
L,30.150000000000034,39.35000000000002,1384.0,50.8,13.0,No Failure,2022-01-06 11:38:00,No Failure,236,930,174,56
M,25.850000000000023,35.85000000000002,1620.0,29.4,75.0,No Failure,2022-01-01 09:16:00,No Failure,234,928,172,54
M,27.05000000000001,38.25,1502.0,39.8,34.0,No Failure,2022-01-14 04:58:00,No Failure,232,926,170,52
L,30.05000000000001,38.75,1531.0,37.5,60.0,No Failure,2022-01-06 06:46:00,No Failure,230,924,168,50
M,25.05000000000001,36.05000000000001,1405.0,42.5,204.0,No Failure,2022-01-13 09:30:00,No Failure,228,922,166,48
M,29.75,38.55000000000001,1472.0,47.0,73.0,No Failure,2022-01-06 15:32:00,No Failure,226,920,164,46
L,27.350000000000023,37.150000000000034,1422.0,49.2,179.0,No Failure,2022-01-04 13:50:00,No Failure,224,918,162,44
L,26.150000000000034,35.75,1507.0,41.2,149.0,No Failure,2022-01-14 20:12:00,No Failure,222,916,160,42
M,28.350000000000023,37.85000000000002,1406.0,50.2,119.0,No Failure,2022-01-10 21:48:00,No Failure,220,914,158,40
H,25.650000000000034,37.25,1445.0,48.2,10.0,No Failure,2022-01-01 16:54:00,No Failure,218,912,156,38
L,28.450000000000045,37.55000000000001,1617.0,33.2,185.0,No Failure,2022-01-10 00:28:00,No Failure,216,910,154,36
L,23.350000000000023,33.950000000000045,1573.0,35.1,129.0,No Failure,2022-01-02 05:52:00,No Failure,214,908,152,34
M,25.25,37.150000000000034,1564.0,36.0,126.0,No Failure,2022-01-01 18:26:00,No Failure,212,906,150,32
L,26.05000000000001,35.55000000000001,1503.0,38.3,87.0,No Failure,2022-01-03 09:18:00,No Failure,210,904,148,30
M,29.350000000000023,38.85000000000002,1504.0,42.6,109.0,No Failure,2022-01-09 03:44:00,No Failure,208,902,146,28
L,23.650000000000034,34.35000000000002,1493.0,40.5,90.0,No Failure,2022-01-02 08:02:00,No Failure,206,900,144,26
M,30.350000000000023,38.35000000000002,1918.0,21.6,131.0,No Failure,2022-01-07 06:44:00,No Failure,204,898,142,24
L,24.55000000000001,35.55000000000001,1927.0,23.9,112.0,No Failure,2022-01-02 11:04:00,No Failure,202,896,140,22
L,29.850000000000023,38.450000000000045,1583.0,35.2,171.0,No Failure,2022-01-06 16:50:00,No Failure,200,894,138,20
L,26.850000000000023,36.25,1356.0,52.6,188.0,No Failure,2022-01-04 08:16:00,No Failure,198,892,136,18
L,27.450000000000045,38.05000000000001,1381.0,60.5,13.0,No Failure,2022-01-11 04:50:00,No Failure,196,890,134,16
L,25.25,36.85000000000002,1505.0,39.2,209.0,No Failure,2022-01-01 16:34:00,No Failure,194,888,132,14
H,28.650000000000034,38.75,1425.0,44.0,33.0,No Failure,2022-01-09 08:24:00,No Failure,192,886,130,12
M,27.650000000000034,37.25,1401.0,48.1,143.0,No Failure,2022-01-04 16:06:00,No Failure,190,884,128,10
L,28.350000000000023,37.650000000000034,1939.0,21.4,164.0,No Failure,2022-01-10 00:12:00,No Failure,188,882,126,8
L,30.350000000000023,38.25,1487.0,42.0,152.0,No Failure,2022-01-07 07:00:00,No Failure,186,880,124,6
L,28.850000000000023,38.950000000000045,1615.0,35.6,158.0,No Failure,2022-01-09 10:00:00,No Failure,184,878,122,4
M,29.350000000000023,38.650000000000034,1628.0,36.4,167.0,No Failure,2022-01-05 15:26:00,No Failure,182,876,120,2
L,30.450000000000045,39.75,1354.0,48.0,67.0,No Failure,2022-01-08 18:26:00,Heat Dissipation Failure,180,874,118,222
L,25.850000000000023,35.55000000000001,1492.0,38.7,202.0,No Failure,2022-01-03 15:50:00,No Failure,178,872,116,220
H,30.05000000000001,39.150000000000034,1758.0,26.4,4.0,No Failure,2022-01-06 03:16:00,No Failure,176,870,114,218
L,25.350000000000023,37.150000000000034,1404.0,43.5,195.0,No Failure,2022-01-01 16:24:00,No Failure,174,868,112,216
M,29.55000000000001,38.85000000000002,1298.0,58.1,168.0,No Failure,2022-01-10 08:48:00,No Failure,172,866,110,214
L,29.150000000000034,38.650000000000034,1531.0,53.4,57.0,No Failure,2022-01-10 10:04:00,No Failure,170,864,108,212
L,26.150000000000034,37.950000000000045,1545.0,36.3,90.0,No Failure,2022-01-01 20:50:00,No Failure,168,862,106,210
L,26.850000000000023,38.25,1339.0,49.6,94.0,No Failure,2022-01-12 10:38:00,No Failure,166,860,104,208
L,25.25,36.35000000000002,1475.0,47.2,69.0,No Failure,2022-01-13 05:20:00,No Failure,164,858,102,206
L,28.05000000000001,38.25,1518.0,41.8,5.0,No Failure,2022-01-11 01:54:00,No Failure,162,856,100,204
M,30.350000000000023,38.25,1451.0,53.6,194.0,No Failure,2022-01-07 07:34:00,No Failure,160,854,98,202
L,26.55000000000001,37.950000000000045,1433.0,54.6,66.0,No Failure,2022-01-02 21:26:00,No Failure,158,852,96,200
M,24.150000000000034,35.05000000000001,1454.0,42.5,35.0,No Failure,2022-01-02 10:02:00,No Failure,156,850,94,198
M,28.05000000000001,38.150000000000034,1448.0,40.1,209.0,No Failure,2022-01-11 01:42:00,No Failure,154,848,92,196
L,24.850000000000023,35.75,1479.0,39.2,151.0,No Failure,2022-01-02 14:06:00,No Failure,152,846,90,194
H,26.75,36.25,1632.0,31.8,17.0,No Failure,2022-01-14 21:12:00,No Failure,150,844,88,192
M,25.850000000000023,35.950000000000045,1552.0,36.6,190.0,No Failure,2022-01-01 07:54:00,No Failure,148,842,86,190
L,23.55000000000001,33.950000000000045,1343.0,54.4,119.0,No Failure,2022-01-02 05:44:00,No Failure,146,840,84,188
L,27.950000000000045,39.25,1660.0,31.4,38.0,No Failure,2022-01-11 10:52:00,No Failure,144,838,82,186
L,28.75,40.25,1372.0,51.0,142.0,No Failure,2022-01-11 23:32:00,No Failure,142,836,80,184
L,28.650000000000034,39.55000000000001,1655.0,32.2,12.0,No Failure,2022-01-12 00:50:00,No Failure,140,834,78,182
M,30.25,38.85000000000002,1464.0,44.2,106.0,No Failure,2022-01-06 07:24:00,No Failure,138,832,76,180
L,27.350000000000023,37.150000000000034,1523.0,41.5,181.0,No Failure,2022-01-04 13:52:00,No Failure,136,830,74,178
L,26.55000000000001,36.950000000000045,1607.0,32.7,2.0,No Failure,2022-01-14 18:18:00,No Failure,134,828,72,176
H,26.25,35.75,1605.0,31.0,18.0,No Failure,2022-01-03 11:00:00,No Failure,132,826,70,174
L,31.150000000000034,40.55000000000001,1262.0,63.8,100.0,No Failure,2022-01-08 10:14:00,No Failure,130,824,68,172
M,30.05000000000001,39.05000000000001,1377.0,43.0,91.0,No Failure,2022-01-06 04:22:00,No Failure,128,822,66,170
M,25.350000000000023,35.85000000000002,2033.0,16.7,128.0,No Failure,2022-01-14 00:52:00,No Failure,126,820,64,168
M,31.75,40.85000000000002,1475.0,41.0,11.0,No Failure,2022-01-07 22:22:00,No Failure,124,818,62,166
L,28.850000000000023,38.650000000000034,1527.0,45.3,8.0,No Failure,2022-01-09 13:54:00,No Failure,122,816,60,164
L,26.25,35.85000000000002,1526.0,41.1,162.0,No Failure,2022-01-03 10:12:00,No Failure,120,814,58,162
L,27.650000000000034,39.150000000000034,1727.0,30.0,24.0,No Failure,2022-01-11 07:54:00,No Failure,118,812,56,160
M,26.75,36.25,1827.0,26.1,5.0,No Failure,2022-01-14 21:02:00,No Failure,116,810,54,158
M,25.25,36.650000000000034,1573.0,33.9,123.0,No Failure,2022-01-13 03:20:00,No Failure,114,808,52,156
L,24.75,35.950000000000045,1555.0,33.7,229.0,No Failure,2022-01-02 01:14:00,No Failure,112,806,50,154
L,25.150000000000034,36.150000000000034,1519.0,37.7,45.0,No Failure,2022-01-13 13:12:00,No Failure,110,804,48,152
H,28.350000000000023,39.85000000000002,1375.0,43.2,108.0,No Failure,2022-01-12 05:04:00,No Failure,108,802,46,150
H,26.05000000000001,36.85000000000002,1524.0,39.1,100.0,No Failure,2022-01-13 21:52:00,No Failure,106,800,44,148
L,30.350000000000023,38.25,1967.0,20.3,50.0,No Failure,2022-01-07 05:40:00,No Failure,104,798,42,146
H,29.350000000000023,38.55000000000001,1790.0,26.2,8.0,No Failure,2022-01-05 16:14:00,No Failure,102,796,40,144
M,29.950000000000045,38.450000000000045,1517.0,38.9,2.0,No Failure,2022-01-06 17:26:00,No Failure,100,794,38,142
L,29.450000000000045,38.55000000000001,1638.0,33.8,196.0,No Failure,2022-01-06 00:14:00,No Failure,98,792,36,140
L,23.450000000000045,33.85000000000002,1949.0,21.9,5.0,No Failure,2022-01-02 06:56:00,No Failure,96,790,34,138
L,25.75,35.55000000000001,1517.0,44.4,67.0,No Failure,2022-01-03 14:04:00,No Failure,94,788,32,136
H,29.950000000000045,38.85000000000002,1729.0,26.1,210.0,No Failure,2022-01-06 14:10:00,No Failure,92,786,30,134
L,25.150000000000034,35.85000000000002,1518.0,36.0,59.0,No Failure,2022-01-13 10:26:00,No Failure,90,784,28,132
L,26.75,36.150000000000034,1660.0,34.4,9.0,No Failure,2022-01-04 08:36:00,No Failure,88,782,26,130
L,26.25,36.75,1402.0,44.8,201.0,No Failure,2022-01-13 23:08:00,No Failure,86,780,24,128
L,30.950000000000045,40.650000000000034,1465.0,44.1,109.0,No Failure,2022-01-08 13:34:00,No Failure,84,778,22,126
L,31.25,39.75,1531.0,37.9,203.0,No Failure,2022-01-07 16:24:00,No Failure,82,776,20,124
H,29.350000000000023,38.35000000000002,1453.0,48.0,124.0,No Failure,2022-01-10 05:14:00,No Failure,80,774,18,122
L,31.650000000000034,41.05000000000001,1531.0,39.4,159.0,No Failure,2022-01-08 08:16:00,No Failure,78,772,16,120
L,25.25,36.05000000000001,1639.0,33.8,39.0,No Failure,2022-01-13 10:10:00,No Failure,76,770,14,118
L,25.650000000000034,36.75,1282.0,58.1,108.0,No Failure,2022-01-13 19:20:00,No Failure,74,768,12,116
H,25.25,35.75,1390.0,52.0,131.0,No Failure,2022-01-14 00:54:00,No Failure,72,766,10,114
L,27.05000000000001,36.75,1430.0,39.1,117.0,No Failure,2022-01-03 22:48:00,No Failure,70,764,8,112
L,27.25,37.25,1701.0,31.2,199.0,No Failure,2022-01-03 21:14:00,No Failure,68,762,6,110
M,30.150000000000034,39.650000000000034,1559.0,34.4,191.0,No Failure,2022-01-08 22:54:00,No Failure,66,760,4,108
M,28.650000000000034,39.05000000000001,1429.0,52.3,77.0,No Failure,2022-01-10 15:48:00,No Failure,64,758,2,106
L,25.650000000000034,35.150000000000034,1327.0,61.0,186.0,Overstrain Failure,2022-01-03 13:06:00,Overstrain Failure,62,756,170,104
L,25.25,36.35000000000002,1295.0,52.1,130.0,No Failure,2022-01-13 00:40:00,No Failure,60,754,168,102
L,25.75,35.950000000000045,1585.0,33.5,212.0,No Failure,2022-01-01 08:12:00,No Failure,58,752,166,100
M,29.950000000000045,39.35000000000002,1866.0,23.1,159.0,No Failure,2022-01-06 02:30:00,No Failure,56,750,164,98
L,25.25,36.650000000000034,1473.0,46.2,167.0,No Failure,2022-01-13 06:28:00,No Failure,54,748,162,96
L,24.650000000000034,35.75,1271.0,61.4,125.0,No Failure,2022-01-02 13:44:00,No Failure,52,746,160,94
L,25.950000000000045,35.55000000000001,1767.0,27.0,127.0,No Failure,2022-01-03 12:18:00,No Failure,50,744,158,92
L,27.950000000000045,37.950000000000045,1650.0,31.6,19.0,No Failure,2022-01-10 23:12:00,No Failure,48,742,156,90
L,26.950000000000045,36.75,1445.0,43.4,197.0,No Failure,2022-01-04 11:02:00,No Failure,46,740,154,88
L,26.650000000000034,37.85000000000002,1412.0,46.3,107.0,No Failure,2022-01-03 00:48:00,No Failure,44,738,152,86
L,29.55000000000001,38.75,1608.0,33.0,160.0,No Failure,2022-01-05 20:56:00,No Failure,42,736,150,84
L,29.650000000000034,38.85000000000002,1529.0,41.6,12.0,No Failure,2022-01-06 00:34:00,No Failure,40,734,148,82
L,23.450000000000045,34.05000000000001,1263.0,61.8,27.0,No Failure,2022-01-02 07:14:00,No Failure,38,732,146,80
L,29.650000000000034,38.85000000000002,1651.0,32.5,195.0,No Failure,2022-01-05 21:24:00,No Failure,36,730,144,78
L,26.650000000000034,37.650000000000034,1463.0,40.0,90.0,No Failure,2022-01-12 13:12:00,No Failure,34,728,142,76
L,30.350000000000023,39.25,1559.0,37.6,209.0,No Failure,2022-01-06 08:36:00,No Failure,32,726,140,74
L,29.350000000000023,38.650000000000034,1413.0,44.6,166.0,No Failure,2022-01-09 01:22:00,No Failure,30,724,138,72
L,28.150000000000034,39.450000000000045,1595.0,38.8,154.0,No Failure,2022-01-11 09:30:00,No Failure,28,722,136,70
L,30.350000000000023,39.75,1354.0,49.4,117.0,No Failure,2022-01-08 21:54:00,No Failure,26,720,134,68
L,28.450000000000045,38.150000000000034,1484.0,41.0,213.0,No Failure,2022-01-10 20:10:00,No Failure,24,718,132,66
L,31.75,40.55000000000001,1602.0,33.9,165.0,No Failure,2022-01-07 21:28:00,No Failure,22,716,130,64
L,28.350000000000023,38.650000000000034,1728.0,26.3,125.0,No Failure,2022-01-09 06:44:00,No Failure,20,714,128,62
L,28.75,38.85000000000002,1382.0,51.2,136.0,No Failure,2022-01-09 09:42:00,No Failure,18,712,126,60
L,26.450000000000045,37.450000000000045,1386.0,48.6,25.0,No Failure,2022-01-14 13:38:00,No Failure,16,710,124,58
H,29.650000000000034,38.450000000000045,1441.0,46.3,100.0,No Failure,2022-01-05 23:00:00,No Failure,14,708,122,56
M,27.450000000000045,36.950000000000045,1366.0,55.2,95.0,No Failure,2022-01-04 18:28:00,No Failure,12,706,120,54
L,28.75,38.55000000000001,1352.0,46.4,212.0,No Failure,2022-01-09 10:44:00,No Failure,10,704,118,52
